"Pays_Code";"Pays";"Mesure";"Unité";"Multiplicateur";"Base";"Date";"Valeur";"Statut"
"USA";"États-Unis";"Dépenses intérieures brutes de R-D (DIRD)";"Dollars des É-U, PPA convertis";"Millions";2020;1990;270783,4044;"Définition différente  "
"USA";"États-Unis";"Dépenses intérieures brutes de R-D (DIRD)";"Dollars des É-U, PPA convertis";"Millions";2020;1991;277392,7147;"Définition différente  "
"USA";"États-Unis";"Dépenses intérieures brutes de R-D (DIRD)";"Dollars des É-U, PPA convertis";"Millions";2020;1992;278685,219;"Définition différente  "
"USA";"États-Unis";"Dépenses intérieures brutes de R-D (DIRD)";"Dollars des É-U, PPA convertis";"Millions";2020;1993;272749,5164;"Définition différente  "
"USA";"États-Unis";"Dépenses intérieures brutes de R-D (DIRD)";"Dollars des É-U, PPA convertis";"Millions";2020;1994;272621,4256;"Définition différente  "
"USA";"États-Unis";"Dépenses intérieures brutes de R-D (DIRD)";"Dollars des É-U, PPA convertis";"Millions";2020;1995;289794,0539;"Définition différente  "
"USA";"États-Unis";"Dépenses intérieures brutes de R-D (DIRD)";"Dollars des É-U, PPA convertis";"Millions";2020;1996;305787,9611;"Définition différente  "
"USA";"États-Unis";"Dépenses intérieures brutes de R-D (DIRD)";"Dollars des É-U, PPA convertis";"Millions";2020;1997;322907,6491;"Définition différente  "
"USA";"États-Unis";"Dépenses intérieures brutes de R-D (DIRD)";"Dollars des É-U, PPA convertis";"Millions";2020;1999;363026,8233;"Définition différente  "
"USA";"États-Unis";"Dépenses intérieures brutes de R-D (DIRD)";"Dollars des É-U, PPA convertis";"Millions";2020;2000;389151,1583;"Définition différente  "
"USA";"États-Unis";"Dépenses intérieures brutes de R-D (DIRD)";"Dollars des É-U, PPA convertis";"Millions";2020;2001;395465,7579;"Définition différente  "
"USA";"États-Unis";"Dépenses intérieures brutes de R-D (DIRD)";"Dollars des É-U, PPA convertis";"Millions";2020;2002;388511,4278;"Définition différente  "
