"Rentrée";"Personnel";"etablissement_type";"Catégorie";"Corps";"code_corps";"Filière";"Sexe";"Effectif"
2015;"titulaires";"Bibliothèque";"A";"Conservateurs des bibliothèques";"CONSER.";"Bibliothèque";"Homme";15
2015;"titulaires";"Bibliothèque";"A";"Conservateurs généraux des bibliothèques";"CONSER. GEN.";"Bibliothèque";"Femme";1
2015;"titulaires";"Bibliothèque";"A";"Conservateurs généraux des bibliothèques";"CONSER. GEN.";"Bibliothèque";"Homme";4
2015;"titulaires";"Bibliothèque";"A";"Ingénieurs d'études";"IGE";"Ingénieurs et techniciens de recherche et de formation";"Femme";0
2015;"titulaires";"Bibliothèque";"A";"Ingénieurs d'études";"IGE";"Ingénieurs et techniciens de recherche et de formation";"Homme";1
2015;"titulaires";"Bibliothèque";"B";"Bibliothécaires assistants spécialisés";"BIBAS";"Bibliothèque";"Femme";15
2015;"titulaires";"Bibliothèque";"B";"Bibliothécaires assistants spécialisés";"BIBAS";"Bibliothèque";"Homme";8
2015;"titulaires";"Bibliothèque";"B";"Secrétaires administratifs de l'éducation nationale et de l'enseignement supérieur";"SAENES";"Administrative";"Femme";2
2015;"titulaires";"Bibliothèque";"B";"Secrétaires administratifs de l'éducation nationale et de l'enseignement supérieur";"SAENES";"Administrative";"Homme";0
2015;"titulaires";"Bibliothèque";"B";"Techniciens de recherche et de formation";"TECH";"Ingénieurs et techniciens de recherche et de formation";"Femme";4
2015;"titulaires";"Bibliothèque";"B";"Techniciens de recherche et de formation";"TECH";"Ingénieurs et techniciens de recherche et de formation";"Homme";5
2015;"titulaires";"Bibliothèque";"C";"Adjoints administratifs de l'éducation nationale et de l'enseignement supérieur";"ADJAENES";"Administrative";"Femme";8
2015;"titulaires";"Bibliothèque";"C";"Adjoints administratifs de l'éducation nationale et de l'enseignement supérieur";"ADJAENES";"Administrative";"Homme";3
2015;"titulaires";"Bibliothèque";"C";"Adjoints techniques de recherche et de formation";"ATRF";"Ingénieurs et techniciens de recherche et de formation";"Femme";1
2015;"titulaires";"Bibliothèque";"C";"Adjoints techniques de recherche et de formation";"ATRF";"Ingénieurs et techniciens de recherche et de formation";"Homme";3
2015;"titulaires";"Bibliothèque";"C";"Magasiniers";"MAG";"Bibliothèque";"Femme";25
2015;"titulaires";"Bibliothèque";"C";"Magasiniers";"MAG";"Bibliothèque";"Homme";9
2015;"titulaires";"École";"A";"Assistants ingénieurs";"ASI";"Ingénieurs et techniciens de recherche et de formation";"Femme";146
2015;"titulaires";"École";"A";"Assistants ingénieurs";"ASI";"Ingénieurs et techniciens de recherche et de formation";"Homme";167
2015;"titulaires";"École";"A";"Attachés d'administration de l'Etat";"AAE";"Administrative";"Femme";76
2015;"titulaires";"École";"A";"Attachés d'administration de l'Etat";"AAE";"Administrative";"Homme";31
2015;"titulaires";"École";"A";"Bibliothécaires";"BIB";"Bibliothèque";"Femme";11
2015;"titulaires";"École";"A";"Bibliothécaires";"BIB";"Bibliothèque";"Homme";3
2015;"titulaires";"École";"A";"Conservateurs des bibliothèques";"CONSER.";"Bibliothèque";"Femme";20
2015;"titulaires";"École";"A";"Conservateurs des bibliothèques";"CONSER.";"Bibliothèque";"Homme";6
2015;"titulaires";"École";"A";"Conservateurs généraux des bibliothèques";"CONSER. GEN.";"Bibliothèque";"Femme";1
2015;"titulaires";"École";"A";"Conservateurs généraux des bibliothèques";"CONSER. GEN.";"Bibliothèque";"Homme";0
2015;"titulaires";"École";"A";"Infirmiers catégorie A";"INF - A";"Sociale et de santé";"Femme";13
2015;"titulaires";"École";"A";"Infirmiers catégorie A";"INF - A";"Sociale et de santé";"Homme";1
2015;"titulaires";"École";"A";"Ingénieurs d'études";"IGE";"Ingénieurs et techniciens de recherche et de formation";"Femme";257
2015;"titulaires";"École";"A";"Ingénieurs d'études";"IGE";"Ingénieurs et techniciens de recherche et de formation";"Homme";336
2015;"titulaires";"École";"A";"Ingénieurs de recherche";"IGR";"Ingénieurs et techniciens de recherche et de formation";"Femme";71
2015;"titulaires";"École";"A";"Ingénieurs de recherche";"IGR";"Ingénieurs et techniciens de recherche et de formation";"Homme";156
2015;"titulaires";"École";"B";"Bibliothécaires assistants spécialisés";"BIBAS";"Bibliothèque";"Femme";42
2015;"titulaires";"École";"B";"Bibliothécaires assistants spécialisés";"BIBAS";"Bibliothèque";"Homme";10
2015;"titulaires";"École";"B";"Secrétaires administratifs de l'éducation nationale et de l'enseignement supérieur";"SAENES";"Administrative";"Femme";182
2015;"titulaires";"École";"B";"Secrétaires administratifs de l'éducation nationale et de l'enseignement supérieur";"SAENES";"Administrative";"Homme";25
2015;"titulaires";"École";"B";"Techniciens de recherche et de formation";"TECH";"Ingénieurs et techniciens de recherche et de formation";"Femme";443
2015;"titulaires";"École";"B";"Techniciens de recherche et de formation";"TECH";"Ingénieurs et techniciens de recherche et de formation";"Homme";454
2015;"titulaires";"École";"C";"Adjoints administratifs de l'éducation nationale et de l'enseignement supérieur";"ADJAENES";"Administrative";"Femme";197
